model,MAE,RMSE,MAPE_pct,WMAPE_pct,Pred10_pct
MA,1.0801407299488035,2.5542715856927085,64.36183092956053,83.45745103790917,5.548409227338993
ARIMA,0.9970963864536151,2.0547409807382335,58.4474902358057,77.04100081150813,8.532715890575423
Croston,1.0331283463435394,2.0823738481235377,58.10724111266353,79.82502278654817,8.85001286339079
Croston_SBA,1.0208110320379797,2.088824645588669,57.634706928802295,78.87332119149443,7.417888688791699
SeasonalNaive,1.1448026077508149,2.341552588753115,81.86781595158956,88.4535736273577,16.079238487265243
