model,MAE,RMSE,MAPE_pct,WMAPE_pct,Pred10_pct
STACK_Ridge_trees,0.9523428315592888,1.85978431805123,57.82363886381891,73.58310175001948,9.621816310779522
SimpleAvg_trees,0.9699721665509518,1.8996022629630542,53.84896575963706,74.94523848007998,9.355972901123403
XGBoost,0.9703399889821464,1.931624592407325,53.15008725077237,74.97365840879013,9.355972901123403
LightGBM,0.9763501352987942,1.952907462098132,53.66377383389298,75.43803446465469,9.218763399365407
RandomForest,0.9770261096682795,1.8791218601497368,55.59725006702887,75.4902638605843,9.87050853271589
STACK_Ridge_all,1.0126349164573696,1.8379983542321023,54.19382983257596,78.24159076338493,11.096818454677987
LSTM,1.2088598037061216,2.3635196803691265,58.49377540378475,93.4029752625679,7.786639224766315
