model,MAE,RMSE,MAPE_pct,WMAPE_pct,Pred10_pct,group,n_rows
1,0.6735716639459324,1.1337444812238615,59.46227558510498,96.51505640219062,7.462686567164178,TX,8305
2,0.9180728701962697,1.6832871308864876,58.0227733084171,72.20260593731079,9.314920119144327,WI,8305
0,1.188688883936452,2.3604796134294617,56.82062438818705,67.47640480597055,10.974909021260295,CA,11000
