feature,mean_abs_shap,pct_of_total,cumulative_pct
rolling_mean_7,0.4132011479278617,29.89396513286373,29.89396513286373
rolling_mean_28,0.28175749230011077,20.384378632493846,50.278343765357576
item_month_mean,0.21128465137467928,15.285862667561192,65.56420643291877
rolling_std_7,0.10691140359962324,7.734745625805063,73.29895205872383
item_dow_mean,0.07259521394299084,5.252063807923946,78.55101586664777
year,0.0673018423192368,4.86910294842648,83.42011881507426
lag_14,0.05955377633197247,4.308551711742006,87.72867052681627
lag_7,0.03249346048385436,2.350812381866885,90.07948290868316
day_of_week,0.028310791720291963,2.0482078155260335,92.12769072420919
item_mean,0.02306544717065053,1.6687215825782655,93.79641230678746
lag_28,0.02175401342094105,1.5738429623602976,95.37025526914776
is_snap_day,0.01733261312222547,1.2539668268968207,96.62422209604458
sell_price,0.011261934472754049,0.8147699447240687,97.43899204076864
is_weekend,0.008899293127277856,0.6438393498858903,98.08283139065453
item_id,0.004086696220652913,0.29566121716131505,98.37849260781584
store_dow_mean,0.002826390494949083,0.20448156867806255,98.5829741764939
week_of_year,0.0028214542927012167,0.20412444803929747,98.7870986245332
days_to_next_event,0.0028123515144676658,0.20346588710235283,98.99056451163555
store_id,0.0026201755376659185,0.18956248441652965,99.18012699605208
cat_month_mean,0.002553027082840783,0.18470447863088568,99.36483147468297
dept_mean,0.002407056521526875,0.17414391050994638,99.53897538519291
days_since_last_event,0.0016311570824533391,0.1180097228519725,99.65698510804488
dept_id,0.001324805722694225,0.09584604563817348,99.75283115368305
store_mean,0.0012618524519561664,0.09129154986806054,99.84412270355111
month,0.0011106065787507404,0.08034932745951609,99.92447203101062
cat_id,0.00037283070510222595,0.026973274771087397,99.9514453057817
state_id,0.00023983370799276758,0.017351308292282163,99.96879661407398
is_sporting_event,0.00020818664724938317,0.015061730600727637,99.9838583446747
state_mean,0.00017268133840070478,0.012493019284031943,99.99635136395874
price_change,3.772871390373231e-05,0.002729568549366352,99.99908093250811
is_religious_event,9.402906593491105e-06,0.0006802743972591078,99.99976120690536
is_cultural_event,3.300652167506588e-06,0.00023879309461255217,99.99999999999997
is_national_event,0.0,0.0,99.99999999999997
