mape,lead_time,service_level,stockout_mult,ss_gauss,ss_emp,tc_gauss,tc_emp,pct_reduction_TC
3,7,0.9,0.4,93.46665812268479,127.11465504685134,83423.8509460455,82335.67007857212,1.3044001866770203
3,7,0.9,1.0,93.46665812268479,127.11465504685134,113254.45035458206,110509.01396441221,2.4241311326612935
3,7,0.9,2.0,93.46665812268479,127.11465504685134,162972.11603547633,157464.58710747905,3.3794302129564184
3,7,0.95,0.4,119.96200526373613,163.14832715868113,85922.84973337606,72962.39253442752,15.083830714606936
3,7,0.95,1.0,119.96200526373613,163.14832715868113,119482.27406797971,87049.06447734758,27.14478766296261
3,7,0.95,2.0,119.96200526373613,163.14832715868113,175414.64795898582,110526.85104888101,36.99109376844994
3,7,0.99,0.4,169.6562787069301,230.73253904142496,87936.15560074114,65482.95579811266,25.53352446355892
3,7,0.99,1.0,169.6562787069301,230.73253904142496,124478.63987619846,68300.29018669667,45.1309154288435
3,7,0.99,2.0,169.6562787069301,230.73253904142496,185382.780335294,72995.84750100336,60.62425681124274
3,10,0.9,0.4,102.99524089927245,140.07352762301053,83428.56770472959,82342.0848703825,1.3022911266945965
3,10,0.9,1.0,102.99524089927245,140.07352762301053,113259.16711326616,110515.4287562226,2.4225309323523945
3,10,0.9,2.0,102.99524089927245,140.07352762301053,162976.83279416044,157471.0018992894,3.378290521711691
3,10,0.95,0.4,132.19169144445476,179.7807003644585,85928.90356948676,72970.62575153807,15.080231772618777
3,10,0.95,1.0,132.19169144445476,179.7807003644585,119488.32790409042,87057.29769445813,27.141588453445987
3,10,0.95,2.0,132.19169144445476,179.7807003644585,175420.7017950965,110535.08426599157,36.98857481763802
3,10,0.99,0.4,186.95211368912098,254.25487461720456,87944.71723910476,65494.59962628719,25.527534020923646
3,10,0.99,1.0,186.95211368912098,254.25487461720456,124487.20151456208,68311.9340148712,45.12533562987974
3,10,0.99,2.0,186.95211368912098,254.25487461720456,185391.34197365763,73007.4913291779,60.61979456432675
3,14,0.9,0.4,114.4728101818692,155.68302184734213,83434.24923427658,82349.8117505664,1.2997509939415486
3,14,0.9,1.0,114.4728101818692,155.68302184734213,113264.84864281314,110523.15563640649,2.420603602316843
3,14,0.9,2.0,114.4728101818692,155.68302184734213,162982.5143237074,157478.7287794733,3.3769178043865256
3,14,0.95,0.4,146.92285070861163,199.81507696371182,85936.19566370636,72980.54299967672,15.0758973724284
3,14,0.95,1.0,146.92285070861163,199.81507696371182,119495.61999831001,87067.21494259678,27.137735304584265
3,14,0.95,2.0,146.92285070861163,199.81507696371182,175427.9938893161,110545.00151413021,36.98554086876404
3,14,0.99,0.4,207.7856572456947,282.5884938541448,87955.03008413063,65508.625095522366,25.52031983519062
3,14,0.99,1.0,207.7856572456947,282.5884938541448,124497.51435958795,68325.95948410638,45.11861555182577
3,14,0.99,2.0,207.7856572456947,282.5884938541448,185401.65481868348,73021.51679841307,60.614420151845124
3,21,0.9,0.4,132.18181554679026,179.76726914363476,83443.01539675846,82361.73373154177,1.2958324433451618
3,21,0.9,1.0,132.18181554679026,179.76726914363476,113273.61480529503,110535.07761738186,2.4176302598097688
3,21,0.9,2.0,132.18181554679026,179.76726914363476,162991.2804861893,157490.65076044868,3.3747999950259273
3,21,0.95,0.4,169.65189481344825,230.72657694628964,85947.44680342739,72995.84454969731,15.069211169648838
3,21,0.95,1.0,169.65189481344825,230.72657694628964,119506.87113803104,87082.51649261737,27.131791115142974
3,21,0.95,2.0,169.65189481344825,230.72657694628964,175439.24502903712,110560.30306415081,36.98086021411465
3,21,0.99,0.4,239.9302102890903,326.30508599316283,87970.9420096781,65530.265314266915,25.509192220474773
3,21,0.99,1.0,239.9302102890903,326.30508599316283,124513.42628513541,68347.59970285093,45.108249172795944
3,21,0.99,2.0,239.9302102890903,326.30508599316283,185417.56674423095,73043.15701715762,60.60612902017264
4,7,0.9,0.4,124.6222108302464,169.48620672913512,83439.27330498773,82356.64448673355,1.2975050900754426
4,7,0.9,1.0,124.6222108302464,169.48620672913512,113269.8727135243,110529.98837257366,2.4188994613600356
4,7,0.9,2.0,124.6222108302464,169.48620672913512,162987.53839441857,157485.56151564047,3.3757040157657348
4,7,0.95,0.4,159.94934035164817,217.53110287824154,85942.64392674691,72989.31263741187,15.072065155891401
4,7,0.95,1.0,159.94934035164817,217.53110287824154,119502.06826135056,87075.98458033193,27.13432842861172
4,7,0.95,2.0,159.94934035164817,217.53110287824154,175434.44215235667,110553.77115186537,36.98285821443514
4,7,0.99,0.4,226.20837160924015,307.6433853885666,87964.14954082176,65521.0275566223,25.51394187444991
4,7,0.99,1.0,226.20837160924015,307.6433853885666,124506.63381627908,68338.36194520631,45.11267403948466
4,7,0.99,2.0,226.20837160924015,307.6433853885666,185410.7742753746,73033.919259513,60.60966815712552
4,10,0.9,0.4,137.3269878656966,186.7647034973474,83445.56231656652,82365.19754248073,1.2946941024703231
4,10,0.9,1.0,137.3269878656966,186.7647034973474,113276.16172510308,110538.54142832082,2.416766471506933
4,10,0.9,2.0,137.3269878656966,186.7647034973474,162993.82740599738,157494.11457138765,3.374184729652755
4,10,0.95,0.4,176.2555885926064,239.70760048594468,85950.71570822784,73000.29026022594,15.067268889259744
4,10,0.95,1.0,176.2555885926064,239.70760048594468,119510.1400428315,87086.962203146,27.130064300874622
4,10,0.95,2.0,176.2555885926064,239.70760048594468,175442.5139338376,110564.74877467944,36.97950040981782
4,10,0.99,0.4,249.269484918828,339.0064994896061,87975.56505863993,65536.552660855,25.50595995925488
4,10,0.99,1.0,249.269484918828,339.0064994896061,124518.04933409725,68353.88704943901,45.105237822962415
4,10,0.99,2.0,249.269484918828,339.0064994896061,185422.18979319278,73049.4443637457,60.603720382538874
4,14,0.9,0.4,152.63041357582563,207.57736246312285,83453.13768929584,82375.50004939259,1.2913087149765359
4,14,0.9,1.0,152.63041357582563,207.57736246312285,113283.7370978324,110548.84393523268,2.4141975120734704
4,14,0.9,2.0,152.63041357582563,207.57736246312285,163001.40277872668,157504.4170782995,3.3723548427919345
4,14,0.95,0.4,195.89713427814885,266.42010261828244,85960.43850052064,73013.51325774414,15.061492785077041
4,14,0.95,1.0,195.89713427814885,266.42010261828244,119519.8628351243,87100.1852006642,27.12492874860684
4,14,0.95,2.0,195.89713427814885,266.42010261828244,175452.2367261304,110577.97177219763,36.97545620646449
4,14,0.99,0.4,277.0475429942596,376.7846584721931,87989.3155186744,65555.2532865019,25.49634816446686
4,14,0.99,1.0,277.0475429942596,376.7846584721931,124531.79979413172,68372.58767508592,45.096282404883524
4,14,0.99,2.0,277.0475429942596,376.7846584721931,185435.94025322725,73068.1449893926,60.59655701607124
4,21,0.9,0.4,176.2424207290537,239.68969219151302,83464.82590593836,82391.39602402643,1.2860865283798024
4,21,0.9,1.0,176.2424207290537,239.68969219151302,113295.42531447492,110564.73990986652,2.4102344794847816
4,21,0.9,2.0,176.2424207290537,239.68969219151302,163013.0909953692,157520.31305293334,3.369531801953183
4,21,0.95,0.4,226.202526417931,307.6354359283862,85975.44002014867,73033.91532443826,15.052583264101369
4,21,0.95,1.0,226.202526417931,307.6354359283862,119534.86435475232,87120.58726735832,27.11700662594621
4,21,0.95,2.0,226.202526417931,307.6354359283862,175467.23824575843,110598.37383889177,36.96921719142333
4,21,0.99,0.4,319.9069470521204,435.0734479908838,88010.53141940436,65584.10691149463,25.481523797463634
4,21,0.99,1.0,319.9069470521204,435.0734479908838,124553.01569486168,68401.44130007864,45.08246876362024
4,21,0.99,2.0,319.9069470521204,435.0734479908838,185457.1561539572,73096.99861438533,60.58550657721513
5,7,0.9,0.4,155.777763537808,211.8577584114189,83454.69566392996,82377.618894895,1.29061254189018
5,7,0.9,1.0,155.777763537808,211.8577584114189,113285.29507246653,110550.96278073509,2.4136692145104393
5,7,0.9,2.0,155.777763537808,211.8577584114189,163002.9607533608,157506.53592380192,3.371978523675713
5,7,0.95,0.4,199.93667543956022,271.91387859780195,85962.43812011776,73016.23274039623,15.060305015583006
