model,MAE,RMSE,MAPE_pct,WMAPE_pct,Pred10_pct
STACK_Ridge_trees,0.9523428315592888,1.85978431805123,57.82363886381891,73.58310175001948,9.621816310779522
SimpleAvg_trees,0.9699721665509518,1.8996022629630542,53.84896575963706,74.94523848007998,9.355972901123403
XGBoost,0.9703399889821464,1.931624592407325,53.15008725077237,74.97365840879013,9.355972901123403
LightGBM,0.9763501352987942,1.952907462098132,53.66377383389298,75.43803446465469,9.218763399365407
RandomForest,0.9770261096682795,1.8791218601497368,55.59725006702887,75.4902638605843,9.87050853271589
ARIMA,0.9970963864536152,2.0547409807382335,58.4474902358057,77.04100081150813,8.532715890575423
STACK_Ridge_all,1.0126349164573696,1.8379983542321023,54.19382983257596,78.24159076338493,11.096818454677987
Croston_SBA,1.0208110320379795,2.088824645588669,57.634706928802295,78.87332119149443,7.417888688791699
Croston,1.0331283463435394,2.0823738481235377,58.10724111266353,79.82502278654817,8.85001286339079
MA,1.0801407299488035,2.5542715856927085,64.36183092956053,83.45745103790917,5.548409227338993
SeasonalNaive,1.1448026077508149,2.341552588753115,81.86781595158956,88.4535736273577,16.079238487265243
LSTM,1.2088598037061216,2.3635196803691265,58.49377540378475,93.4029752625679,7.786639224766315
